Date,market_value,balance,stock_owned,price,action,amount
2024-11-27 14:30:00,99890.48480635986,66383.19461470947,79,424.1429138183594,sell,0
2024-11-27 14:45:00,99883.93442183838,66383.19461470947,79,424.05999755859375,buy,0
2024-11-27 15:00:00,99917.50845748291,66383.19461470947,79,424.4849853515625,buy,0
2024-11-27 15:15:00,99868.75064498291,66383.19461470947,79,423.8677978515625,buy,0
2024-11-27 15:30:00,99884.72519332275,66383.19461470947,79,424.07000732421875,buy,0
2024-11-27 15:45:00,99793.08490401611,66383.19461470947,79,422.9100036621094,buy,0
2024-11-29 09:30:00,99636.268650354,66383.19461470947,79,420.92498779296875,sell,0
2024-11-29 09:45:00,99553.71500045166,66383.19461470947,79,419.8800048828125,buy,0
2024-11-29 10:00:00,99589.26355391846,66383.19461470947,79,420.3299865722656,buy,0
2024-11-29 10:15:00,99684.3321269165,66383.19461470947,79,421.53338623046875,buy,0
2024-11-29 10:30:00,99767.01355391846,66383.19461470947,79,422.5799865722656,buy,0
2024-11-29 10:45:00,99719.6154826294,66383.19461470947,79,421.9800109863281,buy,0
2024-11-29 11:00:00,99822.31451827392,66383.19461470947,79,423.2799987792969,buy,0
2024-11-29 11:15:00,99802.16913253174,66383.19461470947,79,423.0249938964844,buy,0
2024-11-29 11:30:00,99817.57471114502,66383.19461470947,79,423.2200012207031,buy,0
2024-11-29 11:45:00,99870.50577193603,66383.19461470947,79,423.8900146484375,sell,0
2024-11-29 12:00:00,99787.36460073548,50620.763892727664,116,423.8500061035156,buy,37
2024-11-29 12:15:00,99833.76389272767,50620.763892727664,116,424.25,sell,0
2024-11-29 12:30:00,99852.90488393861,50620.763892727664,116,424.4150085449219,buy,0
2024-11-29 12:45:00,99742.12290151673,50620.763892727664,116,423.4599914550781,buy,0
2024-12-02 09:30:00,99899.89536245423,50620.763892727664,116,424.8200988769531,buy,0
2024-12-02 09:45:00,100063.44516714173,50620.763892727664,116,426.2300109863281,buy,0
2024-12-02 10:00:00,100360.40488393861,50620.763892727664,116,428.7900085449219,buy,0
2024-12-02 10:15:00,100568.04233511048,50620.763892727664,116,430.5799865722656,buy,0
2024-12-02 10:30:00,100636.48545034486,50620.763892727664,116,431.1700134277344,buy,0
2024-12-02 10:45:00,100639.38474233705,50620.763892727664,116,431.19500732421875,buy,0
2024-12-02 11:00:00,100714.20346792298,50620.763892727664,116,431.8399963378906,sell,0
2024-12-02 11:15:00,100535.09873159486,50620.763892727664,116,430.2959899902344,buy,0
2024-12-02 11:30:00,100546.00559194642,50620.763892727664,116,430.3900146484375,buy,0
2024-12-02 11:45:00,100655.04233511048,50620.763892727664,116,431.3299865722656,buy,0
2024-12-02 12:00:00,100605.16318471986,50620.763892727664,116,430.8999938964844,buy,0
2024-12-02 12:15:00,100608.06247671205,50620.763892727664,116,430.92498779296875,buy,0
2024-12-02 12:30:00,100602.84445913392,50620.763892727664,116,430.8800048828125,buy,0
2024-12-02 12:45:00,100616.76389272767,50620.763892727664,116,431.0,buy,0
2024-12-02 13:00:00,100581.9653087433,50620.763892727664,116,430.70001220703125,sell,0
2024-12-02 13:15:00,100586.71958120423,50620.763892727664,116,430.7409973144531,buy,0
2024-12-02 13:30:00,100590.12863882142,50620.763892727664,116,430.7703857421875,buy,0
2024-12-02 13:45:00,100655.0317149933,50620.763892727664,116,431.32989501953125,sell,0
2024-12-02 14:00:00,100628.24777944642,50620.763892727664,116,431.0989990234375,buy,0
